Course Code,Course Name,TK,AKTS,Type,Class Type,Instructor Name,Semester
CEMU4072,Çevre Mühendisliğinde Isıl İşlemler ve Uygulamaları,2,3,Seçmeli,Ders,manual,8
ODGS0001,Güzel Sanatlar I,0,1,Seçmeli,Ortak Ders,manual,1
ODYD0001,Yabancı Dil I,2,2,Zorunlu,Ortak Ders,manual,1
ODGS0002,Güzel Sanatlar II,0,1,Seçmeli,Ortak Ders,manual,2
ODYD0002,Yabancı Dil II,2,2,Zorunlu,Ortak Ders,manual,2
ODTD0001,Türk Dili I,2,2,Zorunlu,Ortak Ders,manual,5
YUTD0001,Yabancı Öğrenciler İçin Türk Dili I,2,2,Seçmeli,Ortak Ders,manual,5
ODTD0002,Türk Dili II,2,2,Zorunlu,Ortak Ders,manual,6
YUTD0002,Yabancı Öğrenciler İçin Türk Dili II,2,2,Seçmeli,Ortak Ders,manual,6
ODAI0001,Atatürk İlkeleri ve İnkılap Tarihi I,2,2,Zorunlu,Ortak Ders,manual,7
YUAI0001,Yabancı Öğrenciler İçin Atatürk İlkeleri I,2,2,Seçmeli,Ortak Ders,manual,7
ODAI0002,Atatürk İlkeleri ve İnkılap Tarihi II,2,2,Zorunlu,Ortak Ders,manual,8
YUAI0002,Yabancı Öğrenciler İçin Atatürk İlkeleri II,2,2,Seçmeli,Ortak Ders,manual,8
