Course Code,Course Name,TK,AKTS,Type,Class Type,Instructor Name,Semester
CEMI4019,Graduation Project II,2,3,Zorunlu,Dönem Projesi,manual,8
CEMI4025,Urban Air Quality Management,2,3,Seçmeli,Ders,manual,8
CEMI1011,Fine Arts I,0,1,Seçmeli,Ortak Ders,manual,1
CEMI2021,Fine Arts II,0,1,Seçmeli,Ortak Ders,manual,2
CEMI1007,Turkish Language for Foreign Students I,2,2,Seçmeli,Ortak Ders,manual,5
CEMI1006,Turkish Language I,2,2,Zorunlu,Ortak Ders,manual,5
CEMI1018,Turkish Language for Foreign Students II,2,2,Seçmeli,Ortak Ders,manual,6
CEMI1017,Turkish Language II,2,2,Zorunlu,Ortak Ders,manual,6
CEMI1009,Ataturk's Principles and History of Turkish Revolution for Foreign Students I,2,2,Seçmeli,Ortak Ders,manual,7
CEMI1008,Ataturk's Principles and History of Turkish Revolution I,2,2,Zorunlu,Ortak Ders,manual,7
CEMI1019,Ataturk's Principles and History of Turkish Revolution II,2,2,Zorunlu,Ortak Ders,manual,8
